county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Tuolumne,CURTIS CREEK ELEMENTARY,26.5,38604,63678,79672,54673,Curtis Creek Elementary
Lake,UPPER LAKE UNION ELEMENTARY,26.55,39600,57887,70351,58451,Upper Lake Union Elementary
Ventura,MESA UNION ELEMENTARY,26.83,42201,71485,80874,68266,Mesa Union Elementary
Lassen,LASSEN COUNTY OFFICE OF ED.,27,39902,56963,87935,53664,Lassen County Office Of Ed.
Tehama,LOS MOLINOS UNIFIED,27,40454,60221,74024,55997,Los Molinos Unified
Santa Clara,LUTHER BURBANK ELEMENTARY,27,48406,75127,97407,78958,Luther Burbank Elementary
Tuolumne,SOULSBYVILLE ELEMENTARY,27,40623,62365,72314,58267,Soulsbyville Elementary
Ventura,BRIGGS ELEMENTARY,27.2,42397,69524,83883,63693,Briggs Elementary
Santa Barbara,LOS OLIVOS ELEMENTARY,27.2,39000,62868,81000,65000,Los Olivos Elementary
Siskiyou,MT. SHASTA UNION ELEMENTARY,27.6,42560,61444,69302,60428,Mt. Shasta Union Elementary
Tulare,TIPTON ELEMENTARY,28,46155,67503,80508,62644,Tipton Elementary
El Dorado,CAMINO UNION ELEMENTARY,28.7,46109,65952,83390,60008,Camino Union Elementary
Humboldt,CUTTEN ELEMENTARY,28.7,42119,63594,76091,64416,Cutten Elementary
Tulare,ALTA VISTA ELEMENTARY,29,42997,66868,87620,66183,Alta Vista Elementary
Mendocino,MENDOCINO COUNTY OFFICE OF ED.,29.05,40752,62385,74155,58686,Mendocino County Office Of Ed.
Stanislaus,CHATOM UNION ELEMENTARY,29.4,37465,68943,87519,63190,Chatom Union Elementary
Colusa,COLUSA COUNTY OFFICE OF ED.,29.43,46890,67202,75454,67451,Colusa County Office Of Ed.
Calaveras,VALLECITO UNION ELEMENTARY,29.46,43509,68590,82564,57909,Vallecito Union Elementary
Fresno,WEST PARK ELEMENTARY,29.7,39411,51037,70419,45796,West Park Elementary
Sonoma,SEBASTOPOL UNION ELEMENTARY,29.75,36903,67970,73094,59306,Sebastopol Union Elementary
Placer,ACKERMAN ELEMENTARY,29.84,44361,62477,77948,59358,Ackerman Elementary
San Mateo,BRISBANE ELEMENTARY,29.9,46893,71747,91339,71749,Brisbane Elementary
San Diego,SAN PASQUAL UNION ELEMENTARY,29.9,44322,63617,88411,61062,San Pasqual Union Elementary
Kern,LOST HILLS UNION ELEMENTARY,30,40034,59265,72804,62690,Lost Hills Union Elementary
Humboldt,PACIFIC UNION ELEMENTARY,30.15,44724,60425,72981,57489,Pacific Union Elementary
Tuolumne,SONORA ELEMENTARY,30.3,42005,59354,80853,59883,Sonora Elementary
Modoc,TULELAKE BASIN JOINT UNIFIED,30.34,48492,68711,85230,69960,Tulelake Basin Joint Unified
Mendocino,POINT ARENA SCHOOL DISTRICTS,30.71,38946,55874,78339,55963,Point Arena School Districts
Marin,ROSS ELEMENTARY,31.53,53374,80466,99731,81677,Ross Elementary
Siskiyou,SISKIYOU COUNTY OFFICE OF ED.,31.7,34348,54346,64305,52921,Siskiyou County Office Of Ed.
Humboldt,SOUTH BAY UNION ELEMENTARY,31.98,39008,52525,66647,53950,South Bay Union Elementary
