county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Modoc,TULELAKE BASIN JOINT UNIFIED,30.34,"48,492","68,711","85,230","69,960",Tulelake Basin Joint Unified
Mendocino,POINT ARENA SCHOOL DISTRICTS,30.71,"38,946","55,874","78,339","55,963",Point Arena School Districts
Marin,ROSS ELEMENTARY,31.53,"53,374","80,466","99,731","81,677",Ross Elementary
Siskiyou,SISKIYOU COUNTY OFFICE OF ED.,31.7,"34,348","54,346","64,305","52,921",Siskiyou County Office Of Ed.
Humboldt,SOUTH BAY UNION ELEMENTARY,31.98,"39,008","52,525","66,647","53,950",South Bay Union Elementary
Kern,EL TEJON UNIFIED,32.13,"37,627","62,539","72,421","56,184",El Tejon Unified
Sutter,SUTTER UNION HIGH,32.17,"44,167","62,759","79,314","62,656",Sutter Union High
Butte,BIGGS UNIFIED,32.75,"37,485","52,726","72,727","50,642",Biggs Unified
Shasta,GRANT ELEMENTARY,33,"44,777","65,729","75,429","61,989",Grant Elementary
San Benito,NORTH COUNTY JOINT UN ELEMENTARY,33,"50,062","66,596","85,077","65,384",North County Joint Un Elementary
Nevada,UNION HILL ELEMENTARY,34.23,"41,106","70,057","78,770","60,222",Union Hill Elementary
Yolo,YOLO COUNTY OFFICE OF ED.,34.9,"40,174","58,112","79,279","58,991",Yolo County Office Of Ed.
El Dorado,POLLOCK PINES ELEMENTARY,35,"44,029","65,374","77,532","58,886",Pollock Pines Elementary
Tulare,RICHGROVE ELEMENTARY,35,"44,598","72,251","84,735","66,183",Richgrove Elementary
Tulare,SUNDALE UNION ELEMENTARY,35,"47,209","65,855","78,457","65,448",Sundale Union Elementary
Shasta,PACHECO UNION ELEMENTARY,35.23,"40,799","54,647","72,060","54,321",Pacheco Union Elementary
Tuolumne,SUMMERVILLE UNION HIGH,35.57,"43,831","67,611","97,414","70,668",Summerville Union High
Mendocino,ANDERSON VALLEY UNIFIED,35.95,"39,780","53,897","68,660","48,930",Anderson Valley Unified
Mono,EASTERN SIERRA UNIFIED,36,"41,024","62,357","82,311","61,097",Eastern Sierra Unified
Nevada,PENN VALLEY UNION ELEMENTARY,36.32,"44,382","59,966","74,765","57,245",Penn Valley Union Elementary
Siskiyou,YREKA UNION HIGH,36.4,"50,140","72,338","85,527","68,697",Yreka Union High
Placer,PLACER HILLS ELEMENTARY,36.66,"36,792","64,649","72,338","57,204",Placer Hills Elementary
Santa Barbara,MONTECITO UNION ELEMENTARY,36.72,"50,524","104,152","123,320","94,984",Montecito Union Elementary
San Luis Obispo,SAN MIGUEL JOINT UNION ELEMENTARY,36.79,"38,627","56,947","77,168","61,090",San Miguel Joint Union Elementary
Humboldt,ARCATA ELEMENTARY,36.85,"37,837","58,215","71,750","59,394",Arcata Elementary
Kern,KERNVILLE UNION ELEMENTARY,37,"44,387","59,923","70,591","59,058",Kernville Union Elementary
Stanislaus,KEYES UNION ELEMENTARY,37,"44,501","71,593","88,274","68,102",Keyes Union Elementary
Tulare,STRATHMORE UNION ELEMENTARY,37,"42,870","66,215","83,131","64,476",Strathmore Union Elementary
Tehama,ANTELOPE ELEMENTARY,37.38,"41,023","63,465","72,926","53,807",Antelope Elementary
Glenn,HAMILTON UNIFIED,37.5,"37,016","63,495","78,381","60,071",Hamilton Unified
Calaveras,MARK TWAIN UNION ELEMENTARY,38,"33,045","61,627","83,272","61,975",Mark Twain Union Elementary
Trinity,TRINITY ALPS UNIFIED,38.5,"39,602","66,465","79,750","60,089",Trinity Alps Unified
Calaveras,BRET HARTE UNION HIGH,39,"45,579","85,954","102,113","63,360",Bret Harte Union High
Shasta,COTTONWOOD UNION ELEMENTARY,39,"40,993","66,899","76,148","59,015",Cottonwood Union Elementary
San Bernardino,NEEDLES UNIFIED,39,"38,391","69,038","82,731","69,103",Needles Unified
Fresno,LATON JOINT UNIFIED,40,"36,494","55,107","79,623","54,066",Laton Joint Unified
San Bernardino,LUCERNE VALLEY UNIFIED,40,"34,549","64,117","79,857","62,089",Lucerne Valley Unified
Humboldt,SOUTHERN HUMBOLDT JT UNIFIED,40.6,"41,981","50,942","66,560","51,800",Southern Humboldt Jt Unified
Lassen,LASSEN UNION HIGH,41,"36,074","60,221","84,604","55,910",Lassen Union High
Merced,PLANADA ELEMENTARY,41,"44,313","66,159","79,379","63,603",Planada Elementary
Siskiyou,SISKIYOU UNION HIGH,41,"45,623","56,789","75,502","57,084",Siskiyou Union High
San Mateo,WOODSIDE ELEMENTARY,41.6,"56,655","91,719","116,018","80,885",Woodside Elementary
Siskiyou,SCOTT VALLEY UNIFIED,42,"29,742","54,148","66,658","54,027",Scott Valley Unified
Alameda,ALAMEDA COUNTY OFFICE OF ED.,42.87,"58,148","98,977","109,181","84,245",Alameda County Office Of Ed.
San Diego,CARDIFF ELEMENTARY,42.91,"46,724","80,480","96,663","70,609",Cardiff Elementary
Merced,MCSWAIN UNION ELEMENTARY,42.97,"43,619","67,587","85,723","64,103",Mcswain Union Elementary
Monterey,WASHINGTON UNION ELEMENTARY,43,"44,330","65,650","79,324","61,111",Washington Union Elementary
San Bernardino,HELENDALE ELEMENTARY,43.44,"35,654","63,081","84,863","64,525",Helendale Elementary
San Luis Obispo,SAN LUIS OBISPO CO. OFFICE OF ED.,43.59,"45,606","68,864","85,528","63,855",San Luis Obispo Co. Office Of Ed.
Lassen,SUSANVILLE ELEMENTARY,43.6,"40,424","65,121","76,470","54,011",Susanville Elementary
Shasta,COLUMBIA ELEMENTARY,43.67,"40,002","62,600","73,136","56,909",Columbia Elementary
Madera,BASS LAKE ELEMENTARY,44,"38,087","56,879","70,769","53,084",Bass Lake Elementary
Mendocino,MENDOCINO UNIFIED,44.8,"42,500","57,296","78,000","56,500",Mendocino Unified
Alameda,EMERY UNIFIED,45,"41,188","69,033","88,090","71,430",Emery Unified
Monterey,SPRECKELS UNION ELEMENTARY,45,"40,631","59,512","80,444","57,924",Spreckels Union Elementary
Sonoma,WAUGH ELEMENTARY,45.3,"45,123","75,366","83,183","65,887",Waugh Elementary
Nevada,NEVADA CITY ELEMENTARY,45.38,"43,967","63,919","76,142","60,097",Nevada City Elementary
